time,open,high,low,close,Volume
1746511800,23394.93,23404.43,23390.41,23396.43,232
1746512100,23396.43,23413.93,23394.91,23405.42,234
1746512400,23405.42,23428.43,23405.42,23420.93,329
1746512700,23420.93,23440.93,23419.41,23438.41,294
1746513000,23438.41,23457.43,23429.42,23455.92,315
1746513300,23455.92,23456.93,23434.93,23441.93,255
1746513600,23441.93,23445.42,23427.42,23429.42,245
1746513900,23429.42,23438.92,23425.42,23437.41,241
1746514200,23437.41,23444.91,23431.91,23439.41,239
1746514500,23439.41,23455.93,23429.41,23447.42,449
1746514800,23447.42,23489.27,23421.26,23432.28,1612
1746515100,23432.28,23433.77,23360.26,23384.76,1297
1746515400,23384.76,23389.76,23351.76,23370.78,979
1746515700,23370.78,23394.77,23358.76,23365.77,1059
1746516000,23365.77,23382.78,23350.27,23352.26,747
1746516300,23352.26,23368.78,23333.78,23348.77,692
1746516600,23348.77,23369.78,23337.28,23356.78,772
1746516900,23356.78,23357.28,23325.76,23329.27,742
1746517200,23329.27,23341.28,23317.26,23317.26,810
1746517500,23317.26,23341.76,23310.28,23333.77,415
1746517800,23333.77,23339.27,23316.76,23322.27,567
1746518100,23322.27,23329.76,23300.78,23301.76,689
1746518400,23301.76,23314.27,23248.26,23267.27,922
1746518700,23267.27,23275.28,23239.77,23244.78,1086
1746519000,23244.78,23245.28,23192.26,23194.26,1127
1746519300,23194.26,23207.77,23165.26,23170.78,1259
1746519600,23170.78,23173.78,23141.76,23168.27,1145
1746519900,23168.27,23202.27,23163.26,23163.26,868
1746520200,23163.26,23166.26,23115.26,23144.76,1026
1746520500,23144.76,23156.76,23134.76,23135.28,773
1746520800,23135.28,23152.28,23119.27,23148.78,738
1746521100,23148.78,23154.78,23124.27,23124.77,773
1746521400,23124.77,23150.78,23122.77,23138.76,601
1746521700,23138.76,23139.78,23116.26,23129.78,641
1746522000,23129.78,23133.78,23065.76,23068.77,961
1746522300,23068.77,23091.27,23032.26,23042.26,981
1746522600,23042.26,23050.76,22995.76,23019.26,1093
1746522900,23019.26,23019.26,22959.27,22974.26,1175
1746523200,22974.26,22978.28,22940.76,22941.77,1062
1746523500,22941.77,22973.77,22913.26,22965.26,1082
1746523800,22965.26,22997.28,22960.28,22990.28,909
1746524100,22990.28,23009.78,22981.76,22985.26,795
1746524400,22985.26,23017.78,22984.77,23012.77,734
